"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000107404"	1716.93986108049	0.744757557913453	0.235312121166835	3.16497745301197	0.00155094969095225	0.0406661323817964
"ENSG00000116251"	6191.44840445521	0.526427538949151	0.154801014265397	3.40067241450125	0.000672203300226723	0.0266842882258552
"ENSG00000007923"	1598.35811467041	0.385582729329171	0.124680876898416	3.09255708590601	0.00198440062938596	0.0457192892547381
"ENSG00000116288"	3249.55961984438	0.495655220103919	0.156776423284436	3.16154182956873	0.00156936276545539	0.0409198966710761
"ENSG00000233954"	217.637738948995	2.54710273134402	0.773549437077075	3.29274718493556	0.00099213643203238	0.032632525540812
"ENSG00000055070"	1568.93926960781	0.871252953491591	0.2667032823315	3.26675002225381	0.00108789696335413	0.0344353691958985
"ENSG00000173436"	296.781815038511	-0.495880992148113	0.154123266693626	-3.21743110424626	0.00129344087324649	0.0374033292851978
"ENSG00000090432"	799.676059798769	-0.294234910171291	0.0888319017836897	-3.31226624966072	0.000925434258473505	0.0317573901366413
"ENSG00000117318"	71.8462055564457	0.861643445272984	0.25369670574011	3.39635251770145	0.000682903475814757	0.0266842882258552
"ENSG00000142676"	9948.63313559305	0.938937252842083	0.187672756119921	5.00305570320559	5.64286268310557e-07	0.000176232871440813
"ENSG00000169504"	3119.42634626498	-0.68089948263975	0.149610819299814	-4.55113798471523	5.3356540082283e-06	0.0010414900198839
"ENSG00000187010"	391.198696190315	-0.372513913486372	0.112318062853149	-3.31659845285453	0.000911204761485743	0.0315636126417244
"ENSG00000188672"	302.69612982267	-0.539577702619753	0.123942018258206	-4.3534687445194	1.34000207712951e-05	0.00216464243585955
"ENSG00000158062"	241.746436901566	0.596143891144709	0.185517405186192	3.21341218925737	0.00131167899473988	0.0375444737109456
"ENSG00000060642"	291.159188748209	-0.422006805291985	0.110406180864315	-3.82231141398337	0.000132206580174203	0.010678340676829
"ENSG00000090273"	3365.62201615022	0.84082465798622	0.200904507330481	4.18519558948019	2.84920663028817e-05	0.0038037575091993
"ENSG00000126705"	879.396582990357	0.556114008414993	0.176598635432145	3.14902777733336	0.00163814623575154	0.0417074405747322
"ENSG00000060688"	1991.04446437556	0.282783747761763	0.083438779229993	3.38911655193673	0.000701182000951064	0.0267782930471909
"ENSG00000116497"	1347.81960336323	-0.410695344975585	0.117190010851641	-3.50452518939957	0.000457422292614688	0.0212867976834663
"ENSG00000229994"	58.1364614900619	-0.95478953172122	0.216429092479644	-4.41155817261961	1.02629372200063e-05	0.00180294149612461
"ENSG00000116871"	1323.16069126909	0.782470562714524	0.235720771504856	3.31948074715344	0.000901850232532371	0.0313827442939585
"ENSG00000168653"	2952.19398585476	0.500050853336197	0.105581970623962	4.73613866440478	2.17828576673322e-06	0.000518875053655402
"ENSG00000260920"	194.401180250339	-0.624391326075708	0.163709984996079	-3.81400881620424	0.000136730586899485	0.0107955711701425
"ENSG00000171960"	1167.68423657293	0.427781144461025	0.138748154387965	3.08314835860716	0.00204823015608405	0.0462794640090117
"ENSG00000065978"	16975.4954512503	0.901469494763087	0.248852973964906	3.62249837886291	0.000291771290161068	0.0163235411398556
"ENSG00000178922"	48.6806969380339	0.846990005842527	0.270717021919843	3.12869135393087	0.00175586639928771	0.0433732789690898
"ENSG00000142937"	22350.6320379321	0.330917327943755	0.0959419287757513	3.44914191497255	0.000562371060800009	0.0236633619415668
"ENSG00000173660"	4869.20821905667	0.829307681040893	0.218211015046185	3.8004849611527	0.00014441318278222	0.0108764611567399
"ENSG00000235105"	29.6189634322597	-1.50012648343794	0.321252810721459	-4.66961356717474	3.01766840588556e-06	0.000632989728004712
"ENSG00000228929"	181.023908964441	-0.990535316601678	0.15060768926913	-6.5769239366765	4.80280304039584e-11	5.62488282747693e-08
"ENSG00000157184"	302.025300734968	-0.406974438112254	0.131972694289049	-3.08377759736338	0.00204390327237716	0.0462560653623006
"ENSG00000162385"	689.36468313499	0.71467661044445	0.164867304863011	4.3348595468233	1.45853216883193e-05	0.00230316978660269
"ENSG00000157216"	1904.21585865652	0.594376870894425	0.180883115994377	3.28597209102093	0.00101631079093968	0.0331397490855364
"ENSG00000203965"	91.9914624167057	-0.630933032251639	0.184575472215139	-3.41829293285639	0.00063015246051271	0.0254487433334645
"ENSG00000116761"	432.150724797264	-1.024130630339	0.111127200968813	-9.21584113889829	3.08847211665514e-20	1.44684623758238e-16
"ENSG00000254685"	361.592755243562	-0.743308974808057	0.186994248954125	-3.97503655307822	7.03684475096082e-05	0.00716636348768141
"ENSG00000142875"	149.201970650104	-0.572138517257259	0.177727332462385	-3.21919262124946	0.00128552100250916	0.0374033292851978
"ENSG00000234518"	312.421691494048	-0.717171177769657	0.201324791962618	-3.56225962425343	0.000367676507471512	0.0191382430963134
"ENSG00000171488"	398.820231988132	-0.455567266126685	0.149216457358665	-3.05306314190035	0.0022651827021887	0.0492038295155486
"ENSG00000171492"	451.430513596969	-0.476929552367717	0.130404601986925	-3.65730614641604	0.000254879889022679	0.0149877906289738
"ENSG00000228175"	43.2272097198166	0.998509789411387	0.3070920391443	3.25150007858782	0.00114797743885087	0.0354813303696131
"ENSG00000137970"	484.710111689922	1.03025059335224	0.161013061323467	6.39855291790597	1.56856382629201e-10	1.37778725091924e-07
"ENSG00000183298"	185.551322194504	-0.724596925211756	0.179883776187908	-4.02813939404317	5.62200090833406e-05	0.00604470802676164
"ENSG00000155366"	829.619615813873	0.934565272576785	0.2455590547876	3.80586768989298	0.00014130791316269	0.0108764611567399
