"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000225630"	5766.78848626903	-0.208658481243998	0.0715137645642655	-2.91773873904356	0.00352579628068188	0.0311608796461655
"ENSG00000187961"	675.217259366214	-0.315363336182131	0.0989528535502812	-3.18700598181218	0.00143753801757657	0.0165636180103178
"ENSG00000217801"	73.0601465704164	-0.522967129551199	0.175912824889309	-2.9728766500127	0.00295022988159097	0.0273482651824505
"ENSG00000162576"	222.703433667245	-0.465234047944452	0.150420284013925	-3.09289435925666	0.00198214681013629	0.02078473911718
"ENSG00000179403"	73.1499700619668	-1.03570392763089	0.198055353522899	-5.22936597879513	1.70092353795626e-07	1.03430800209981e-05
"ENSG00000157870"	251.919931880159	-0.391118033068376	0.122509994643961	-3.1925397940392	0.00141027511100805	0.016443290262203
"ENSG00000130764"	1874.82788295779	0.160515937103885	0.051948693184819	3.08989364819657	0.00200228177751349	0.0209612842754687
"ENSG00000069424"	167.854435313802	-0.590589713430558	0.13934897436725	-4.23820638876091	2.25312596939872e-05	0.000618864956173131
"ENSG00000158286"	334.16221072954	-0.291262658648986	0.0883800891757426	-3.29556873460282	0.000982226721644685	0.0124478378044835
"ENSG00000162408"	2258.97263171739	0.216152989273228	0.0523057972224129	4.13248627784239	3.58860197351431e-05	0.000892515508442141
"ENSG00000162413"	1533.32345184563	0.212452512954201	0.0564791794715835	3.76160763916715	0.00016882473855815	0.0031005687895022
"ENSG00000171608"	727.960013157653	-0.418485904149918	0.0701776501227926	-5.96323620722091	2.47290537849863e-09	2.2774024967637e-07
"ENSG00000171603"	768.684873372495	-0.277158484122203	0.0674324124364792	-4.11016711560312	3.9537287427331e-05	0.000964451796379941
"ENSG00000178585"	322.423406544362	-0.29093897488981	0.0912311591540146	-3.18903078276855	0.00142750675683281	0.0165325627646395
"ENSG00000162441"	1111.84344634584	0.203097887485325	0.0612079529061872	3.31816173948197	0.000906119990397601	0.0116793904238977
"ENSG00000173614"	137.748997525829	0.375734452848263	0.137466960670636	2.73327096936773	0.00627087187381453	0.047722461463658
"ENSG00000054523"	1386.01709488105	-0.265077706581956	0.0565344261852607	-4.68878388741948	2.74833446363357e-06	0.000108010000378336
"ENSG00000120942"	799.645857210916	0.221975784348208	0.065911836272968	3.36776817184876	0.000757792877771878	0.0102237682416166
"ENSG00000116661"	68.7456141061425	-1.06470211707833	0.201294608334987	-5.28927290147031	1.22803550293407e-07	7.65054078764173e-06
"ENSG00000132879"	229.570979782535	-1.04006920756318	0.114825303301411	-9.05783984591841	1.33059434930706e-19	8.05263027873498e-17
"ENSG00000083444"	1464.57310317276	-0.251386289371426	0.0638767108091781	-3.93549207820678	8.3026403045965e-05	0.00175279494403849
"ENSG00000116138"	788.090916457464	0.218175990117856	0.0662037663082828	3.29552232877361	0.000982388961987328	0.0124478378044835
"ENSG00000159363"	690.052126994597	-0.291675335916518	0.0935204476722755	-3.11884024484825	0.0018156437596492	0.019688580666708
"ENSG00000053372"	3303.08275666915	0.140369479846617	0.0451296412360294	3.11036108424795	0.00186858765634397	0.0200066390265168
"ENSG00000077549"	2074.63694359647	-0.152380448459693	0.0537034850301975	-2.83744059392067	0.00454768086825403	0.0378451455621324
"ENSG00000162543"	406.94024442331	0.28882769332544	0.0901123600685712	3.20519508206928	0.00134970968225445	0.0158681409359591
"ENSG00000090432"	781.023994919993	0.192930179936739	0.0668909316985504	2.88425015226571	0.00392346953955501	0.0340364330226653
"ENSG00000142798"	2399.86554502193	-0.388605173407329	0.0644374721167287	-6.03073274977904	1.63217912147459e-09	1.60801274843571e-07
"ENSG00000261326"	361.88376494008	-0.290977576884201	0.0938494310519501	-3.10047246555103	0.00193212176713457	0.0204468016211284
"ENSG00000088280"	478.669845697683	-0.385867691232167	0.0847084811456205	-4.5552427102173	5.23251261890298e-06	0.00018085585911405
"ENSG00000117318"	68.8474349275297	-0.886370195525313	0.198327803489907	-4.46921803160301	7.85060751219815e-06	0.000257812327835985
"ENSG00000142676"	7219.82235342491	-0.308211243206203	0.0738526453630574	-4.17332705810395	3.00183539876238e-05	0.000781768977108014
"ENSG00000179163"	284.646453410368	-0.294982710467474	0.106062262804601	-2.78122211111903	0.00541546718245892	0.042988864723217
"ENSG00000189266"	5510.12129923016	0.130019595079606	0.0478714296438645	2.71601654780056	0.00660726154916235	0.0492320343319751
"ENSG00000169504"	3170.46572551721	0.425051412952269	0.0524421755147633	8.10514454787656	5.26828453081121e-16	1.71678533595076e-13
"ENSG00000157978"	687.89571419309	-0.198921118522372	0.0729650591232358	-2.72625172805521	0.0064058123544972	0.0482581323137551
"ENSG00000158006"	164.529562401393	0.411408170596518	0.138811848900277	2.96378280280724	0.00303882690064107	0.0278848022240053
"ENSG00000142669"	764.119472772888	-0.238532835118072	0.0713967146264937	-3.34094973929736	0.000834923359024632	0.0109505066768256
"ENSG00000198830"	8619.28238589907	0.289136045678085	0.0463831041058284	6.23365018905133	4.55690046737883e-10	5.17086143213549e-08
"ENSG00000117676"	980.7771245399	-0.453804165705019	0.0666654263004425	-6.80718913668759	9.95240540485685e-12	1.60107747202944e-09
"ENSG00000158246"	31.5331976596793	-1.28917920938821	0.277091898584013	-4.65253302596046	3.27882203905106e-06	0.00012438969938597
"ENSG00000126709"	22.99236314496	-1.3069170671379	0.351350841341749	-3.71969243661693	0.00019946552433868	0.00355541002639592
"ENSG00000117751"	1460.20613311795	0.208228464150538	0.0571139938677999	3.645839662912	0.000266520122005718	0.00445115312613595
